Total Instructions =  14
Total Instructions Hints =  14 

Address    Instructions                      Hint           
0          10101000000000000000000000000000  Start          
1          01100011010000000000000000000000  set_iter_1     
2          01100111010000000000000000000001  set_iter_1     
3          01100011011000000000000000000000  set_iter_2     
4          01100111011000000000000000000001  set_iter_2     
5          01100011001000000000000000000000  set_iter_3     
6          01100111001000000000000000000001  set_iter_3     
7          00000011001000010100001001100011  operation      
8          01100011010000000000000000000000  set_iter_1     
9          01100111010000000000000000000001  set_iter_1     
10         01100011001000000000000000000000  set_iter_3     
11         01100111001000000000000000000001  set_iter_3     
12         00010000001000010100001000000000  operation      
13         10101100000000000000000000000000  done           
dict_keys(['obuf', 'ibuf', 'vmem1', 'vmem2', 'imm'])
